,ACCIDENT_MAJOR,ACCIDENT_MINOR,HAZARD_ON_ROAD,HAZARD_ON_ROAD_CAR_STOPPED,HAZARD_ON_ROAD_CONSTRUCTION,HAZARD_ON_ROAD_OBJECT,HAZARD_ON_ROAD_POT_HOLE,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,HAZARD_ON_SHOULDER_CAR_STOPPED,JAM_HEAVY_TRAFFIC,JAM_MODERATE_TRAFFIC,JAM_STAND_STILL_TRAFFIC,ROAD_CLOSED_CONSTRUCTION,ROAD_CLOSED_EVENT
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2,1,2,3,4,5,6,7,8,9,10,11,12,13,14
3,1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6,1,2,3,4,5,6,7,8,9,10,11,12,13,14
7,1,2,3,4,5,6,7,8,9,10,11,12,13,14
8,1,2,3,4,5,6,7,8,9,10,11,12,13,14
9,1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,1,2,3,4,5,6,7,8,9,10,11,12,13,14
11,1,2,3,4,5,6,7,8,9,10,11,12,13,14
12,1,2,3,4,5,6,7,8,9,10,11,12,13,14
13,1,2,3,4,5,6,7,8,9,10,11,12,13,14
